Downloaded from wid.world on 31-03-2020 at 09:44:09
Africa;"sptinc_p90p100_z_QB
Pre-tax national income 
Top 10% | share
";p90p100;2017;0.5429939624
Africa;"sptinc_p50p90_z_QB
Pre-tax national income 
Middle 40% | share | adults | equal split
";p50p90;2017;0.368793577
Africa;"sptinc_p0p50_z_QB
Pre-tax national income 
Bottom 50% | share | adults | equal split
";p0p50;2017;0.0882124574
Africa;"sptinc_p99p100_z_QB
Pre-tax national income 
Top 1% | share
";p99p100;2017;0.1902208623
Alabama;"sptinc_p90p100_z_US-AL
Pre-tax national income 
Top 10% | share
";p90p100;2017;
Alabama;"sptinc_p50p90_z_US-AL
Pre-tax national income 
Middle 40% | share | adults | equal split
";p50p90;2017;
Alabama;"sptinc_p0p50_z_US-AL
Pre-tax national income 
Bottom 50% | share | adults | equal split
";p0p50;2017;
Alabama;"sptinc_p99p100_z_US-AL
Pre-tax national income 
Top 1% | share
";p99p100;2017;
Alaska;"sptinc_p90p100_z_US-AK
Pre-tax national income 
Top 10% | share
";p90p100;2017;
Alaska;"sptinc_p50p90_z_US-AK
Pre-tax national income 
Middle 40% | share | adults | equal split
";p50p90;2017;
Alaska;"sptinc_p0p50_z_US-AK
Pre-tax national income 
Bottom 50% | share | adults | equal split
";p0p50;2017;
Alaska;"sptinc_p99p100_z_US-AK
Pre-tax national income 
Top 1% | share
";p99p100;2017;
Albania;"sptinc_p90p100_z_AL
Pre-tax national income 
Top 10% | share
";p90p100;2017;0.3197
Albania;"sptinc_p50p90_z_AL
Pre-tax national income 
Middle 40% | share | adults | equal split
";p50p90;2017;0.4709
Albania;"sptinc_p0p50_z_AL
Pre-tax national income 
Bottom 50% | share | adults | equal split
";p0p50;2017;0.2094
Albania;"sptinc_p99p100_z_AL
Pre-tax national income 
Top 1% | share
";p99p100;2017;0.0821
Algeria;"sptinc_p90p100_z_DZ
Pre-tax national income 
Top 10% | share
";p90p100;2017;0.3728564958
Algeria;"sptinc_p50p90_z_DZ
Pre-tax national income 
Middle 40% | share | adults | equal split
";p50p90;2017;0.4200772857
Algeria;"sptinc_p0p50_z_DZ
Pre-tax national income 
Bottom 50% | share | adults | equal split
";p0p50;2017;0.2070662304
Algeria;"sptinc_p99p100_z_DZ
Pre-tax national income 
Top 1% | share
";p99p100;2017;0.0970331262
Angola;"sptinc_p90p100_z_AO
Pre-tax national income 
Top 10% | share
";p90p100;2017;0.4885349596
Angola;"sptinc_p50p90_z_AO
Pre-tax national income 
Middle 40% | share | adults | equal split
";p50p90;2017;0.3808344337
Angola;"sptinc_p0p50_z_AO
Pre-tax national income 
Bottom 50% | share | adults | equal split
";p0p50;2017;0.1306306206
Angola;"sptinc_p99p100_z_AO
Pre-tax national income 
Top 1% | share
";p99p100;2017;0.1517511407
Argentina;"sptinc_p90p100_z_AR
Pre-tax national income 
Top 10% | share
";p90p100;2017;
Argentina;"sptinc_p50p90_z_AR
Pre-tax national income 
Middle 40% | share | adults | equal split
";p50p90;2017;
Argentina;"sptinc_p0p50_z_AR
Pre-tax national income 
Bottom 50% | share | adults | equal split
";p0p50;2017;
Argentina;"sptinc_p99p100_z_AR
Pre-tax national income 
Top 1% | share
";p99p100;2017;
Arizona;"sptinc_p90p100_z_US-AZ
Pre-tax national income 
Top 10% | share
";p90p100;2017;
Arizona;"sptinc_p50p90_z_US-AZ
Pre-tax national income 
Middle 40% | share | adults | equal split
";p50p90;2017;
Arizona;"sptinc_p0p50_z_US-AZ
Pre-tax national income 
Bottom 50% | share | adults | equal split
";p0p50;2017;
Arizona;"sptinc_p99p100_z_US-AZ
Pre-tax national income 
Top 1% | share
";p99p100;2017;
Arkansas;"sptinc_p90p100_z_US-AR
Pre-tax national income 
Top 10% | share
";p90p100;2017;
Arkansas;"sptinc_p50p90_z_US-AR
Pre-tax national income 
Middle 40% | share | adults | equal split
";p50p90;2017;
Arkansas;"sptinc_p0p50_z_US-AR
Pre-tax national income 
Bottom 50% | share | adults | equal split
";p0p50;2017;
Arkansas;"sptinc_p99p100_z_US-AR
Pre-tax national income 
Top 1% | share
";p99p100;2017;
Asia (excl. Middle East);"sptinc_p90p100_z_XA
Pre-tax national income 
Top 10% | share
";p90p100;2017;
Asia (excl. Middle East);"sptinc_p50p90_z_XA
Pre-tax national income 
Middle 40% | share | adults | equal split
";p50p90;2017;
Asia (excl. Middle East);"sptinc_p0p50_z_XA
Pre-tax national income 
Bottom 50% | share | adults | equal split
";p0p50;2017;
Asia (excl. Middle East);"sptinc_p99p100_z_XA
Pre-tax national income 
Top 1% | share
";p99p100;2017;
Asia (excluding Middle East), Market Exchange Rate;"sptinc_p90p100_z_XA-MER
Pre-tax national income 
Top 10% | share
";p90p100;2017;
Asia (excluding Middle East), Market Exchange Rate;"sptinc_p50p90_z_XA-MER
Pre-tax national income 
Middle 40% | share | adults | equal split
";p50p90;2017;
Asia (excluding Middle East), Market Exchange Rate;"sptinc_p0p50_z_XA-MER
Pre-tax national income 
Bottom 50% | share | adults | equal split
";p0p50;2017;
Asia (excluding Middle East), Market Exchange Rate;"sptinc_p99p100_z_XA-MER
Pre-tax national income 
Top 1% | share
";p99p100;2017;
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;2017;
Australia;"sptinc_p50p90_z_AU
Pre-tax national income 
Middle 40% | share | adults | equal split
";p50p90;2017;
Australia;"sptinc_p0p50_z_AU
Pre-tax national income 
Bottom 50% | share | adults | equal split
";p0p50;2017;
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;2017;
Austria;"sptinc_p90p100_z_AT
Pre-tax national income 
Top 10% | share
";p90p100;2017;0.3166
Austria;"sptinc_p50p90_z_AT
Pre-tax national income 
Middle 40% | share | adults | equal split
";p50p90;2017;0.4491
Austria;"sptinc_p0p50_z_AT
Pre-tax national income 
Bottom 50% | share | adults | equal split
";p0p50;2017;0.2343
Austria;"sptinc_p99p100_z_AT
Pre-tax national income 
Top 1% | share
";p99p100;2017;0.0927
Baden;"sptinc_p90p100_z_DE-BD
Pre-tax national income 
Top 10% | share
";p90p100;2017;
Baden;"sptinc_p50p90_z_DE-BD
Pre-tax national income 
Middle 40% | share | adults | equal split
";p50p90;2017;
Baden;"sptinc_p0p50_z_DE-BD
Pre-tax national income 
Bottom 50% | share | adults | equal split
";p0p50;2017;
Baden;"sptinc_p99p100_z_DE-BD
Pre-tax national income 
Top 1% | share
";p99p100;2017;
Bahrain;"sptinc_p90p100_z_BH
Pre-tax national income 
Top 10% | share
";p90p100;2017;
Bahrain;"sptinc_p50p90_z_BH
Pre-tax national income 
Middle 40% | share | adults | equal split
";p50p90;2017;
Bahrain;"sptinc_p0p50_z_BH
Pre-tax national income 
Bottom 50% | share | adults | equal split
";p0p50;2017;
Bahrain;"sptinc_p99p100_z_BH
Pre-tax national income 
Top 1% | share
";p99p100;2017;
Bavaria;"sptinc_p90p100_z_DE-BY
Pre-tax national income 
Top 10% | share
";p90p100;2017;
Bavaria;"sptinc_p50p90_z_DE-BY
Pre-tax national income 
Middle 40% | share | adults | equal split
";p50p90;2017;
Bavaria;"sptinc_p0p50_z_DE-BY
Pre-tax national income 
Bottom 50% | share | adults | equal split
";p0p50;2017;
Bavaria;"sptinc_p99p100_z_DE-BY
Pre-tax national income 
Top 1% | share
";p99p100;2017;
Belgium;"sptinc_p90p100_z_BE
Pre-tax national income 
Top 10% | share
";p90p100;2017;0.3139
Belgium;"sptinc_p50p90_z_BE
Pre-tax national income 
Middle 40% | share | adults | equal split
";p50p90;2017;0.4801
Belgium;"sptinc_p0p50_z_BE
Pre-tax national income 
Bottom 50% | share | adults | equal split
";p0p50;2017;0.2059
Belgium;"sptinc_p99p100_z_BE
Pre-tax national income 
Top 1% | share
";p99p100;2017;0.0777
